Student,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,EXA1,EXA2,EXA3,EXA4,GSS,WS,SSS,COA,TJA,WP,Attendance,final grade
Student 1,100.00,100,100.00,100,100,100,100,100,100,100.00,100,83.83,100.25,95.56,87.18,97.50,88.67,98.13,87.50,95.00,100.00,100,94.84
Student 2,50.00,50,100.00,100,50,100,100,100,100,100.00,100,97.08,92.67,88.63,87.34,91.29,90.67,86.38,95.63,96.00,100.00,100,92.86
Student 3,50.00,50,100.00,100,100,100,100,100,100,100.00,100,96.50,95.58,97.89,94.02,95.43,90.53,105.00,82.25,98.00,100.00,100,95.61
Student 4,100.00,100,0.00,100,100,100,100,100,100,100.00,100,95.33,99.58,94.44,97.18,99.43,98.67,99.38,101.88,96.50,86.25,100,96.35
Student 5,100.00,100,100.00,100,100,100,100,100,100,100.00,100,97.00,102.00,68.51,78.70,89.29,99.67,100.75,99.75,91.00,95.00,100,93.80
Student 6,100.00,100,100.00,100,100,100,100,100,100,100.00,100,98.83,100.17,97.59,94.87,95.00,100.67,98.13,103.75,95.00,100.00,100,98.76
Student 7,50.00,100,50.00,0,0,100,100,100,100,100.00,100,69.83,86.83,85.22,84.87,98.57,98.33,86.25,90.00,98.00,95.00,100,88.83
Student 9,100.00,100,100.00,100,100,100,100,100,100,100.00,100,83.47,99.17,82.78,95.97,95.43,93.67,105.00,102.88,98.00,97.50,100,96.36
Student 10,50.00,100,100.00,100,100,100,100,100,100,0.00,100,104.50,101.00,103.80,93.75,102.00,97.00,100.75,91.50,97.00,100.00,100,97.96
Student 11,100.00,100,100.00,0,50,100,0,0,0,0.00,0,98.33,101.00,78.45,91.67,93.00,89.67,99.38,100.63,97.00,100.00,100,90.13
Student 12,100.00,100,100.00,100,100,100,100,100,100,0.00,0,83.33,86.83,76.85,75.17,93.00,87.67,99.38,100.63,97.00,100.00,100,90.39
Student 13,50.00,100,50.00,50,50,50,100,0,100,100.00,0,97.00,97.67,96.30,94.25,102.00,100.33,100.75,105.00,97.00,100.00,100,95.15
Student 14,75.00,100,100.00,0,100,75,50,100,100,100.00,100,100.00,99.58,96.30,95.06,97.07,99.33,100.75,80.00,99.50,95.00,100,95.16
Student 15,50.00,100,100.00,100,100,100,100,100,0,0.00,100,81.10,100.00,78.94,92.82,91.29,99.67,86.38,92.63,96.00,100.00,92,90.61
Student 16,100.00,100,50.00,100,75,100,100,100,100,100.00,100,94.00,89.33,95.67,90.36,91.29,97.00,88.28,95.63,96.00,100.00,100,94.46
Student 17,75.00,100,100.00,100,100,100,100,100,100,100.00,100,72.80,100.00,93.89,96.37,90.57,102.00,98.75,104.06,100.00,100.00,100,96.54
Student 18,100.00,100,100.00,100,100,100,100,75,100,100.00,100,97.73,99.58,91.30,96.15,97.07,101.00,100.75,103.75,99.50,97.50,92,97.70
Student 19,100.00,100,100.00,100,100,100,100,100,100,100.00,100,97.73,99.58,90.74,94.87,99.43,97.00,99.38,103.75,96.50,90.00,100,97.37
